UID,growth_stage,label_quality
NMyYWcAE,5,1
lGQYe3yD,2,2
cyiqZPst,7,1
1mzVjinv,7,1
i6FR2be5,5,1
l7TJVrOC,2,1
HYSvEaDX,7,1
gI3mkit8,4,2
TJqnuIot,5,2
GrZTN9Hi,2,2
IL2ASejd,2,1
bAksSm5J,5,2
dCQSfiL2,4,2
7kOPJRVg,2,1
gEuV3yYD,1,1
h3uDNjnc,7,1
RUNLTJX6,1,1
HLjiATrK,1,1
5N2mjQSn,4,2
9P6ofAaC,7,1
VyNPsc01,7,1
6TzPmldc,7,1
UbWj5Fdl,6,1
1qdlk2jn,4,2
Fy2iV5ue,7,1
Sv9kfNmu,5,2
ETxptK92,7,2
HCyefXYN,4,1
swpY65An,1,1
6WAz1IXn,2,1
gkvmnjDW,2,2
RqGoWeLS,1,1
qg5iHX4Q,2,2
Vf6OXFAC,3,2
LnshGEd0,7,1
sVqDRLHd,1,1
jMclp4VK,2,2
Gd6TD5xo,2,1
Vw8XDFgu,4,1
0gsojMkE,7,1
wOZYtglP,2,1
CYINkBKT,7,1
bBUjFedJ,4,2
GjNLH8by,5,1
DcRUZdVF,7,1
UmjlWbJz,3,2
n2SxwIZg,1,1
cSoVNeY0,1,1
25q7MXfw,1,1
xN4518Qv,4,2
jA9KmMWn,1,1
IPXL3yFH,3,2
usKTax0z,4,1
akdIzSrm,5,1
K9y364f8,4,2
Q9kbgzvf,2,1
kbLjFZVY,5,1
2uvQWnyO,4,2
XcJKDFap,3,2
QH1YhaqX,1,1
nZDIUHNl,7,1
JS4hEktV,3,2
UIBTzcQg,5,1
QPIpROWb,6,1
cHdvIGBz,1,1
mv93hGfV,4,2
n0ZQixrs,6,1
BJzP30py,1,1
AEQZv6nN,2,2
HrgyFsAB,7,1
xamLIDOK,7,1
lZPKDSJu,5,1
gFWYPSx4,1,1
XrTka3ZF,7,1
qMcKd8Na,1,1
sYjUFi0v,4,2
j0rRO3JA,1,1
cJOZ4mKa,4,1
LMykFgPd,5,1
SFpqhdkm,1,1
BrPGpC3E,5,1
sCyB6JSR,7,1
HDsmNQI8,7,1
1EMkmUC4,1,1
XCIY4Kbp,1,1
ZalYr94O,1,1
Bc0IKMVg,4,2
M3yHOPuo,7,1
jbHdcsX9,1,1
NrAJb7du,7,1
jDxkdwb1,1,1
ljfYgLcB,7,2
aLwty3Pq,1,1
3u7ZgwCM,1,1
dSHv9L0e,7,1
81A5b3wO,7,1
G4FlJjwM,7,1
sSz9l2q0,2,1
1DQdMmpR,3,2
D9I5NUhb,7,1
4Z3LTpS5,1,1
oOucqsMW,2,1
XTDBU6ZP,1,1
rujhqd4I,1,1
uWwkUfrc,1,1
wVP8g9Fj,3,2
6iQdGS09,2,2
cE8XG3mC,5,2
zkU5Znmj,4,1
0CY3Qq1w,6,1
iK5mkpPA,2,2
chIulpfD,4,1
riozgAMX,7,1
rmbdh5Nv,7,1
MWVHtcl1,5,1
Z9sLilbp,2,2
SPB2VN6Q,7,1
BzEHuCNd,4,2
VKmvcu3W,1,1
1xEfbc9C,1,1
2miXclJx,7,1
A97QJE2D,1,1
IKaWrh8H,7,1
NzeDUFQS,2,1
bovu7YxE,6,1
g3ZTNJb1,7,1
pW9TXdfr,1,1
fOXjnM82,1,1
kwnAYRSP,7,1
kRviVQcB,7,1
hEPBDtrb,4,2
EQTaFnK1,1,1
CvNR0f4A,4,2
XQ6MEPhv,7,1
fXwpVYAN,4,1
vlFe8Jyo,7,1
jBmXMsh8,1,1
T85j2mZn,7,1
3Kc6LqjU,3,2
n3AL4Tk5,7,1
ObCsRhKP,1,1
DMFEBstJ,7,1
agDFUMKo,1,1
8Rmbnzpe,1,1
JzHSBT5A,4,2
mgtxjF1y,2,1
aimFSGR2,7,1
BK2eAt6m,1,1
UoYHi4Iu,1,1
BmipQgXO,4,1
WFXyTRrH,2,2
o8CKQNaG,1,1
H8y1lupY,1,1
IV5uRWH0,6,1
geNGl1T4,1,1
27mvkcul,1,1
KcyOmbBI,7,1
yoPNu5ki,2,1
FIUcEn6M,4,2
2BOTbj1W,3,2
QhIDgt1l,2,1
g76eIsl3,1,1
fk1oNVL4,1,1
ke5Sz3mW,7,1
CVqMPpUx,4,2
ajs6FRZt,1,1
yNYP4ltT,1,1
eMHBAK1E,1,1
9zmNG27X,3,2
0scChJxG,4,2
vYR0d8XQ,3,2
YznkiDKQ,1,1
Xud1BwPp,1,1
J3W47oil,7,1
sKJiBCPt,1,1
qRfrgWm5,7,1
FdoRqXJz,2,1
hPKApag5,3,2
ohaYyGBu,7,1
tcNYZHBP,7,1
6nofcUAi,1,1
aCmVRIi5,1,1
ecFMHnWu,1,1
HvaCgUO4,4,1
FDHSXYNw,1,1
jF5WZuMw,1,1
ceIWZoN3,4,2
XdUEjMRD,7,2
DMR5LIdx,4,2
Hb63QrqI,1,1
RAhfBTkK,1,1
nE5qJsM1,6,1
wIJO7uPg,2,2
BIc2L9XZ,1,1
sn5WX0HB,4,1
cLI7A6zv,4,2
yBkNIeQf,1,1
x4vl5HfK,7,1
iljFPbmO,1,1
La3vBO2R,1,1
wyRKrUc4,1,1
Kkh6TiJP,3,2
Nu58diRf,4,1
plLNS3cn,1,1
m1T3xeQZ,7,1
yCiLHdb2,1,1
cwQ8zZdp,6,1
WkfCE5SF,4,2
kOA3LyoZ,2,2
30d8QaS5,1,1
nWD1VfPa,2,1
RT6ZPH8A,2,2
2PwKWSlz,1,1
873W2P0f,7,1
QdBMYiax,1,1
eYgXH9Ej,1,1
tFOYJa14,1,1
BrWi2AHu,1,1
MBNGQiDu,7,1
ysTl1BIw,7,1
YFH3gfrz,4,2
kzc7KmFn,5,1
hWybu5RB,1,1
PjLIta0D,7,1
yMsuhmLG,4,2
kwuq41fs,7,1
HXIDyGf0,3,2
OTXnvW3j,4,2
LviRrhxZ,1,1
uRDZ741v,3,2
ovAtGY4f,2,2
OSZ09N2n,2,1
YhplXPfK,2,1
rckyUXai,4,2
5iyzxU4I,1,1
zprJ1LEi,4,1
TFiBXPvO,1,1
lzQq95Tc,7,1
4GQU7jIo,4,2
BD8XewkZ,3,2
AzFS6chJ,4,2
l5dbLXsq,4,1
jZUBYyox,7,1
QAO1kj48,6,1
Rp120cbK,5,1
9wIXPnZO,3,2
nM5YRDIA,7,2
HfAND9vw,2,2
N1YIb9m7,7,1
ZEnU09Ma,1,1
NiutHM75,2,1
5bh9NiQ0,1,1
2jXLBrFc,2,2
N7lho2sA,1,1
gwVzXtSe,6,1
ehjdHK56,7,2
CetaR9fm,6,1
5EwIHUlg,4,2
wG9HOcmC,2,1
lWAwRcKd,4,2
CsA9j5Ul,1,1
7jaV3R0b,7,1
9sh6xIgX,5,1
ebh8wc4i,5,1
anxjMhLV,4,2
iS3F5KzE,1,1
CNk4ecsh,1,1
cP7zUdZl,5,2
b3kWvmD7,2,1
ZfCz52u9,1,1
64pzdM0I,1,1
TYxgdOlb,7,1
cFVYQpin,1,1
h3K8w4iF,1,1
HfQSv3pD,2,2
A5kE0pPI,4,2
mI8s46wQ,5,1
iUzEFnkV,4,1
6r1wpKuZ,7,1
X8f5Lgwp,3,2
GFrHWd96,3,2
IiaD7Fkx,7,1
8XmT0Bsr,1,1
7ckZWfDn,5,1
YP7ldLfI,7,1
Dm01pRCF,2,1
hUfyRrKJ,5,1
FUH63BC1,2,2
RwAT37Nd,3,2
0lqTKxjy,7,1
ha7gVtQL,1,1
ObxgptFd,4,2
OcyMvjqu,7,1
sVkHC68f,1,1
ZGH9Rc8o,1,1
NzJM6lsG,7,1
Jz3k8dMe,2,2
LEJMUj96,3,2
gY6nD1WM,3,2
NcqEvkLu,6,1
pbOTVfP9,7,2
hHj7kn6q,4,2
PowDYfVa,3,2
o1JPHvOr,2,1
hJif8DVy,1,1
A7rpfvsw,4,2
ErgceRtq,4,2
BybMalzI,2,1
puAtCN69,7,2
bhYjeWkL,4,2
iYhXuOW0,1,1
FMkwr0sc,1,1
v5fg4Drz,1,1
CTbZJgpd,4,2
RKoTV63z,1,1
Yke9LnAm,2,1
fO0WUatj,1,1
gFTzU2SC,7,1
hVqCpYyi,4,2
IRMVpd43,1,1
glMkCVNQ,5,1
rIwSBbOL,7,1
KutIi3Hp,1,1
flPW2AXg,3,2
DpBJK8hw,2,2
NvofnXzG,2,1
PdSZ3Q8v,4,2
RbZPGlWU,5,1
Wcq2ZbnS,7,2
Lz4UidC9,4,2
f7I2uKJ9,7,2
KmcE36yq,7,1
nKmqhOkR,7,2
nxRJU9Ki,1,1
J3vAm1cf,4,2
oNFVZAys,5,1
Q4m25nf3,4,1
1BCSoRYk,2,1
PHy5i2zc,7,1
W53uex2s,1,1
xH3MoXOA,4,1
dBNcV2Cq,4,1
6ialcgOP,2,1
GXEh2gbj,3,2
P1wfAUr3,1,1
TUxlut6h,1,1
EvQgITZu,1,1
z6E3Tjvt,3,2
h9ov1pEx,2,2
vXWkyo5I,1,1
I315Nqbz,7,1
EqUBLp30,2,2
QioFBYec,4,2
EnRf3mb1,4,2
ZKjGtJgU,5,1
WdwpDsL1,6,1
G1QhzkbB,4,1
h4qocWLK,7,1
R8n3KCgc,4,1
GTmu3IiJ,2,1
FdcnXsfl,3,2
7nZKRIXf,2,1
eSiWIQH9,2,2
flaq5TjH,1,1
T3FtEnX5,4,2
dfkZADQs,6,1
m4Njw9ul,7,1
yUJrwpvL,1,1
AQmefowP,1,1
U3vs7pGF,5,1
J32kqvn0,7,1
aJ4sqOxv,6,1
SAN6qndC,5,1
MPpEOFx2,5,1
NLAgMKhc,2,2
zwh5Jkbp,4,1
kviyFA0b,2,1
GYORFSJw,5,2
Y9qWMQud,7,1
HsdENkU3,5,2
zNHrbixY,1,1
NlDxXTyi,7,1
LZAkrKHw,4,2
MkpDWzxl,7,1
O1JeRP8A,5,1
XNM1mErF,1,1
XjaGgvLd,7,1
9GBCVw1R,7,1
SDb0s2d1,7,1
MZ7xHqET,5,1
qrWihQeo,2,1
WiA9rx7k,1,1
QozeU2kO,4,2
LMf4UeE1,2,1
W54jmcR9,7,1
Zi1bDVnm,1,1
Sq3ZIdRe,1,1
EZbcluos,4,2
sGB6UYPt,7,1
5dbhV3Gn,5,1
tyMmoLsk,4,1
VfSsR80W,7,1
VLGvaP9x,5,1
hoFWeAyZ,7,1
WElgsMJD,2,1
8gIfTJsG,2,1
hwP8TxNM,7,1
smGpY158,1,1
G6utmZD3,3,2
vjQBLI3W,4,2
REB6eazM,3,2
e97alfXi,1,1
vgQPqZoB,3,2
rhgjLkMy,1,1
x2l7Si4M,3,2
WEduHf93,2,1
cLsKHZo9,7,1
c4a28KSq,1,1
LfyoHMG6,1,1
Y5C0bwNa,5,1
f2IE6FHl,3,2
iSvD9exd,5,1
PBNIlead,5,2
MjRnkHem,1,1
1SxKizma,3,2
Fg41OjpX,7,1
zBmDxQHA,5,1
2Ody5oX9,1,1
fHzrUR6y,2,1
H48nfLXR,5,1
AkfOCdqu,4,2
Bo8HxOt4,1,1
qGDkdVtC,1,1
VZaKw1Cg,1,1
FLrdQ5O0,4,2
yDC8gohk,6,1
HsWfSkyE,1,1
5TkMhutz,7,1
ZijCRYWu,3,2
EHToSPzh,1,1
f7CvhDur,1,1
pCec8bx6,1,1
utEpN5gG,1,1
cEQ5yzf1,6,1
LsMujVxW,4,1
r5g4Ii0p,5,1
EBux5OLU,2,1
4fqMP5bL,6,1
fyJI2Hqj,1,1
JPmT57E0,7,1
GWcq4vFQ,1,1
2A3DcxTr,2,2
Ky8vLDnV,7,1
qQjrldM2,1,1
tTPVGcQK,1,1
GYfM2lP6,7,1
MwVLG8KS,1,1
Yn9udaEO,1,1
jZ5QnSsT,2,1
bIZfwhSK,2,2
qzBvNH1y,1,1
JtCqDPWg,2,1
ctfEb1Qu,4,2
f1w04ELd,7,1
2PQcMXWN,5,1
9nUEWo8Y,6,1
c9mNY4Hq,1,1
ByJwTMA3,4,2
e5CWzlON,1,1
1nbP6vWg,2,1
1Ldpe6fS,4,2
2WQOSdB7,5,1
M2KzeqCo,1,1
pR7wTGx2,7,1
UrKCo3kQ,7,1
cAOh15MB,7,1
2wqDhkGl,1,1
XqxrOHFc,4,2
tyPX3LVc,7,1
kvzMZP1B,1,1
ao0UzCHi,4,2
aimx1TzX,7,2
qjeN0t4K,5,1
zr2nWAeS,1,1
ctxbNvMR,4,2
STeiGMgy,1,1
dFZAS1Xp,5,1
SLYsJuMI,3,2
NO9w3sKr,5,1
gns3X9yI,7,1
qN6npsoU,1,1
NCH4X3Pi,2,1
WXac5IiP,7,2
kWaz4Yi9,1,1
LMXGxpV7,7,1
GhNB2dMY,1,1
k6NbgYJi,5,1
h1tHuwIx,5,1
MjTN6ycI,4,1
w7yKmSu4,7,1
f9354VvR,7,1
Jl4ZM0rp,1,1
NZhtrfgl,6,1
hU5AXGJC,7,1
FcAd23hy,4,2
kAz7dV4i,1,1
ZfjtwKL5,2,2
qaAIk4SV,4,2
toiXITUz,2,1
W0uEkfnV,2,1
0oBfdHJ3,1,1
JLuhcBFV,1,1
mIyhBfMk,1,1
Xce34ogV,7,1
z8IwNpkQ,6,1
LX8fMrgz,7,1
FaxIVDwP,1,1
kPyWcjDx,1,1
nFfLuDxT,5,1
gytYQTRG,5,1
m8iFuMbJ,1,1
FPl5WIpj,3,2
bYMmI3oK,3,2
Apn97scm,4,2
kWn4Fvpi,4,1
fZF7k2Rs,1,1
j1ZhENcM,7,1
Qz9EmCRZ,3,2
N7FWv1AO,1,1
m2YbyWKx,4,2
Cqina6k0,2,2
Um4dLgyM,5,1
g4IhK29N,2,1
K0V29Wzx,7,2
Vvl5ZSo4,3,2
GHKpgczr,1,1
T4chUyPJ,4,1
uthBfsza,6,1
cXgw2PmZ,1,1
0kRWgpmM,1,1
5GjLAUxn,2,2
v9lsu1c2,5,1
qw23Wgz6,7,2
NB27odk4,2,1
DpUKtJ4x,5,1
OxlUtni5,1,1
nhuSptmk,4,2
MLNW395Y,1,1
VeIoEwNp,1,1
XUOfjn6x,4,1
1U0ocFLA,2,1
moydVnQ9,1,1
XPIDq4Ea,7,1
z0qGLmlk,4,2
wOt6sgXS,1,1
MLKkRFGp,4,2
pxnr3STR,6,1
IjxiCqYJ,4,1
ZHnOyjmr,2,2
j9oenXTs,2,1
MHt03UYI,7,1
xzKPJUep,1,1
ks8Krj1Z,2,1
yNPgZOBD,4,2
8YkxwJMv,7,1
XpUJdvmu,7,1
JPuXCpbx,1,1
1aeOP70r,6,1
0ipxZsy3,4,1
wD4WqYUe,1,1
ewJP7zmj,5,2
VMYawosL,2,1
Wrov12M5,7,1
kdAIl9jF,5,2
tr0R8UsF,7,1
mCXUKQl4,1,1
aUFDGPny,7,1
o8GJsfj9,1,1
qGUgpBHd,1,1
lPj7I5aA,2,2
ekF20zEK,5,2
56oizucA,2,2
JkZWGs0u,6,1
epXxRHCN,5,1
dH8ZkVGN,2,1
2ezdgCKT,1,1
5N6zwkJB,1,1
0M9RxYt3,5,2
6cL1mrBd,4,1
BT4d9Fxj,4,2
tCJoEFwc,1,1
BJt9SZAT,7,1
h6OLRCIy,3,2
5dnXapRj,4,2
GE4tadv5,2,2
glSji2pZ,1,1
Fkjx4goO,2,2
4MngxIV1,1,1
dspJry43,1,1
DntaCB0O,1,1
H1b9ZsGP,1,1
PM7cZlNt,7,1
P3g4LcDp,5,1
txM4ZJ0O,3,2
OA3gDa2z,3,2
Ji95cmtO,1,1
bXUqLzRr,1,1
MBt8P7DE,6,1
oBknPCV2,1,1
6i7RyBbG,2,1
9OlAZuTe,2,2
lgfJ9spR,2,1
y7IY0iUr,4,1
lJQSeFnP,5,1
Knhv9HEG,1,1
PQrZU3qO,4,2
KEMGkNfQ,1,1
iSao1Vhu,1,1
YWOgdsBC,1,1
VI25sAxv,2,1
msjinZpg,1,1
7pVi2YOD,5,1
0W82CP5n,7,1
wRPkqdbI,3,2
6OX1h7xJ,1,1
f3V5PO0H,1,1
ap51uJOS,1,1
5pUVFxYi,1,1
TbEIVDiy,4,2
5wgiGXV4,1,1
W1lmiMAk,7,2
ZXx59oSf,1,1
1IeH75ZS,2,1
sHw84XvD,1,1
fts1FjQN,7,1
ofLAMdJy,1,1
pEJM6UZe,1,1
unhxfsb2,1,1
e9T3LsZj,2,1
tfyQin4r,7,1
SXyHDzsf,1,1
8wMz1Zhb,1,1
TgJytlhM,1,1
ksrMTD17,7,1
xVQpTM7t,2,2
QCSUIjwZ,4,1
Lw6qA973,1,1
oUIi3Rpa,2,1
sUiDRKIg,1,1
0KUn9HAk,2,1
IZvQjp1i,2,1
kYib1lXy,1,1
GU6ePVSc,5,1
JoVSngB3,1,1
izyRcFYn,4,2
6ltpdv0r,7,1
6YrKLmi4,7,1
yI1JT2Go,5,1
gbVX32ui,3,2
WEcwoTmB,4,2
RD49sENy,1,1
k548eFjC,1,1
OfqS7JlX,4,1
DuNCR7pT,5,1
IClpn43c,1,1
jYVDOTq4,3,2
LAR0Vpob,4,2
pQrux9eR,4,1
dnl4kFGQ,7,1
IBZis2fQ,7,1
GmXZxwhR,4,2
EZPmb6uX,2,2
P7aMGUut,7,1
hltVTmx4,5,1
z5iZFxdu,1,1
hsUZRQSr,1,1
Cgh7x38D,7,1
k1v8JUP3,5,1
oCqg1LPI,1,1
t6gbu4aQ,4,2
3E5gBHPT,6,1
FGJrxRTM,5,1
c5n6Wbxv,2,1
RYyvzTUA,5,2
pzR5T7rH,3,2
vWfmGRra,5,1
A3bma5Mx,6,1
21rFI4Qa,1,1
qDoQGlBM,1,1
u1s0GtFv,1,1
FWCoJBSj,7,1
QsD3AGUu,2,1
5J63xDaO,1,1
QBbU8Fkz,1,1
sFjtJMPf,5,1
RCGrymth,1,1
Jlbdp29E,1,1
2Kp1omN9,7,1
ATULe2nG,4,1
rnqVtaGZ,2,1
N0e3jwqs,1,1
oghGI4p3,1,1
hQKzZNJf,3,2
ypGB2ZNg,5,1
aXOwuSrC,7,1
ogzMULN7,5,1
BpIqFse9,7,1
HlWT2FNU,1,1
Fui7MaGe,4,2
BVW1wilN,4,2
XPF2f9sr,2,1
trUPGBo5,1,1
QILG7wqf,1,1
Kw4VUJTx,4,2
I0gHFU3d,4,2
K83JUfMd,7,1
zBvXa5Tl,1,1
bBMXg7wr,2,1
6xJChbvO,2,2
Is69c58C,5,2
rsyVUftv,2,1
nMIEoX4m,7,1
3BVSE1lN,2,1
sdzg81bO,1,1
tA4cdue6,7,1
IXBqMTPJ,7,1
zEgmwyvx,2,1
1Ebazdlv,1,1
kyKxWatD,6,1
IKAVE8JS,2,2
0iVTq3rJ,5,1
ahWANUtG,7,1
9tYnPf7Z,1,1
ljnHvySO,2,1
GSCWmwuZ,4,1
XOH1gbZJ,1,1
bc8Tgh3k,6,1
8euk5i94,5,1
qLfidKkI,5,1
n3z2YW0B,5,1
c7sueS15,7,1
TxarHj9n,6,1
co05BO8H,5,1
pYNORn8U,5,1
29W6zeIl,6,1
eoHWflcM,7,1
WLbFIzBR,1,1
WPqD4RSL,1,1
eXlg0Aba,5,1
lr6L2X1Q,4,2
QvkUubN8,7,1
GU1rAiIT,4,2
eLJ8Rr29,3,2
d8VRythk,7,1
ds34ZDnT,2,1
2PvMD3tZ,7,1
YiMxPa8O,2,2
kc97tJMn,5,2
w0JQ2Zo4,7,1
VZU1O4CX,1,1
ZTJ96LY3,1,1
0gJ76Apm,4,2
5sRxP1XW,7,1
uOvHGpgf,3,2
oOGipnA6,1,1
mzgfsXHQ,1,1
lCXY2KLf,7,1
w5gJ4BhY,7,1
a40OV9Qv,7,1
nZhAU5Lm,3,2
9kATfZl2,4,2
3IanXLYb,6,1
xm40K2dN,1,1
SPwLNx2a,5,1
HbJR9jh5,4,2
s1ALpbrv,5,1
OrzJVXLC,2,1
t35BLxRZ,1,1
JK4xPkEy,6,1
YIbJ2Q6a,7,1
5yY2WT7o,1,1
Oq4sviZx,7,1
9IESUTVh,1,1
Xa1lgEBM,1,1
jgSGnYmB,1,1
CeniKSYB,5,1
DmkbBqMI,2,2
WJ1Tebw7,7,1
emgrUCWx,4,2
ZErvywOV,1,1
hMHxIfKA,7,1
NEg1jy2J,7,1
nI2t39De,1,1
PciTuYyR,4,2
htKbyZIq,7,1
wClqVsY4,3,2
FWgOKoJl,1,1
vGf4jmq6,4,2
0EM4UaKR,1,1
hcP0zyQg,7,1
9VoDcKgW,1,1
FBaY5xgf,7,1
raD81egQ,3,2
UL9FsTQy,1,1
1w9En0zi,1,1
4w65opVq,7,1
Gm82C0hS,7,1
4vxUahzp,6,1
pECyfhRH,1,1
UT7VEDst,7,1
bH9xBnOt,5,1
vWahf0LZ,7,1
pD7s1C4H,5,2
LljvD0nm,1,1
X0ftx4ng,2,1
yvrVkpIM,1,1
YERqO5Kp,1,1
jDUxMHPy,1,1
Chq7tyJe,1,1
CYWZvu0a,1,1
GogZzxni,3,2
KnrVpBHv,2,2
2rDyWMkt,1,1
PIceLG7x,1,1
iIChWndp,4,1
r74xcSfd,1,1
D3zTWo4H,1,1
ZnfIMzE8,1,1
qFk28MQJ,2,1
JPwG76C0,2,2
oz76DT9q,7,1
jc30pNrX,1,1
2go19JWl,7,1
i6hQdUGw,7,1
5MFmUNz1,7,1
b2XUR4uF,7,1
rYXveu5O,7,1
B7lUVwOt,1,1
csV5vp8n,5,2
mXs4Tpi3,4,1
tfkhWe7n,4,2
6PyjM9Jd,7,1
VaMCt8Ed,1,1
Mui58elp,7,1
CEkP3lFe,2,1
LiBchY8n,7,1
Li2RMtTr,7,1
u6eglQFp,1,1
W9gjbC7i,7,1
B2jvOIqX,4,2
gkFVo7Ty,2,1
cMa49BTo,5,1
swrUIkHZ,5,1
hPCv45Hu,1,1
cGr29ksC,2,2
X3Wq790N,4,2
vAlFciQm,7,2
mu27nhLR,6,1
VF7XukUf,5,1
CakAiw6K,2,1
s6YjAoP0,1,1
FGuD9N0e,2,2
NnFAhlOd,1,1
a1ijclTX,5,1
ynPsYdCQ,6,1
z0LZGsuM,2,1
4ZIyW2nX,5,1
CZgWz6AV,2,1
RQXFVfeK,4,2
nV34LAHs,7,1
dIyZMpSV,4,2
t2bpCWKF,7,2
ajHkSD4G,4,2
AIalOfGM,4,1
xrsIHYtM,7,1
FvnmkDW5,1,1
K8PbY6I9,1,1
qkBeC796,7,2
eBoPLKDh,1,1
LA63fWau,5,1
m3TQer29,1,1
sCLk7KJU,5,1
XL2UGqWu,3,2
GJ7akXbm,2,1
tCjugJi1,7,1
bFIp5S1l,6,1
DQqsKiAu,7,1
thEFbPXg,3,2
6ImCGAUn,3,2
GIYKafSj,4,2
wu1LNkda,7,1
UCXAExl4,1,1
z1pqha0F,7,1
Na0srFbt,2,1
HEYZPsgL,3,2
QZSeE2xR,4,2
mkREqQhl,7,1
NBhpuLoA,4,2
D7uVtAGl,4,2
ETUwPt6M,1,1
2pKO3tVe,6,1
URegtzZx,7,1
6rFaAGLN,7,1
xBlcHvuj,1,1
Jlrv9Mt0,2,2
M59cfjAJ,4,2
sp8cHFjv,3,2
qLuU09sm,2,2
T19nh2cq,1,1
MA1mekvl,4,2
miefWgo9,1,1
utmKMwiL,5,2
pBuAiqSl,4,2
W5zGOqAS,7,1
z3ZcpnDI,7,1
90UlsRXa,5,2
tzpIn4El,1,1
qITYCxdN,5,2
QIwB4WHp,5,1
dD7FwBAp,4,2
UGaB4LHs,1,1
T2vrVzSl,2,2
Ljz605c7,1,1
zverGnPt,3,2
4ZKQvwUE,1,1
OHUqDNY5,4,2
nFIDERki,5,1
zjxZtHQl,5,1
rxN5O1w4,3,2
g9zsdwHO,1,1
Etk4aic5,5,1
J6lCh4Um,7,1
lxgoL2hn,1,1
q5To9akY,6,1
dQ4hMCUN,1,1
yGkchLHB,3,2
NxtbgQPE,1,1
E5cB6VQr,5,1
fecqoHE2,1,1
RKgTZFvn,2,2
TMYmK9Ef,7,1
2Vjorinw,2,1
NPVhc1Yr,7,1
VJgTQ4kl,7,1
rHACe7xQ,4,2
apjBlZi1,2,1
CqO0m8yW,4,1
EgaX39xM,3,2
Aj0kTRyE,2,2
Ozv3MEiA,1,1
OBwDzvU2,5,2
z91K30tG,7,1
rgKo8MAx,7,1
pFsrUuAD,1,1
oLmsAK0S,2,1
SDWPTFHh,5,1
ypR7jwUu,2,2
3s0WmAHP,4,1
Z0JjRf7w,2,1
o8uQNMBR,7,1
uv7mPIZL,7,1
9znSjtai,1,1
FjiYaLmM,1,1
PYb4chuF,1,1
UhIDWTdw,2,2
dgiQoOEc,4,2
LoXBajIw,1,1
5Hfr3a09,1,1
2q4v9juS,1,1
h1kB6jqA,4,2
fwTlzkci,1,1
n8CfFsdy,7,1
BwbTXOVp,2,2
PHzWnZeb,1,1
mUPEowW3,1,1
bA4aFKYl,1,1
tGDa4V9W,1,1
Lt8VncXD,2,1
z2sOLDhe,4,1
WjbHUAgr,2,1
JARiaTn6,3,2
WHwtAfoz,4,1
tiNJUzMV,7,1
dme6BLYl,4,1
fzSy3Dse,3,2
Sbj3zf9d,1,1
fEqwKyGO,1,1
gi26LGMc,4,1
tNoZXdKc,2,1
bqHcvhW5,7,1
rVuDCU0k,3,2
KPoz7hD3,2,1
5gveLTX3,7,1
zoecNk0K,1,1
HCpijahl,3,2
TPNm5ar2,1,1
oWY0NI4K,4,2
SDIoGQdm,4,1
rcOlR7Km,7,2
Nhv9gcd1,1,1
F6zSsIvh,7,1
dheY6GC4,7,1
aObpudJc,1,1
0QuC15Zc,7,2
y1MSY7VA,7,1
NufT8pYo,2,1
0u4H8TWh,2,1
DJW0joar,7,1
4mZU8gwK,5,1
qKxwQZli,1,1
NfMC5yjA,4,2
wH4rPvTV,7,1
lZzbt9qe,4,1
GFHpCVn7,1,1
IfU6HQKo,2,2
WSIpE5v4,1,1
ZStXLnfs,2,1
52xXQLDs,1,1
gTW0FRSb,1,1
cFes3z7o,2,1
jxDfb8NF,4,1
ErvQagiD,4,1
mi6sCwZl,3,2
4tiBA0kx,7,1
lUJimGDc,7,1
SAMHhqY6,1,1
nRJNH532,1,1
6X3RfhNC,7,1
ADWdFCO9,4,2
CZxNlFiD,2,1
5jDhrkBN,5,1
yGW2NRpS,4,2
WzUEYswN,1,1
RsnyAabd,2,1
OoCN5Bwe,4,2
m9FjYku7,2,1
b8REaQi6,6,1
Sz8Vr6fI,4,1
ei2n5FIQ,1,1
dMTyx6uv,5,1
w6lZUKnH,1,1
7GAr2F9Y,7,1
1TesY27P,4,2
Hz5BJodG,2,1
aNc5iRsF,1,1
SPLEjd4x,1,1
AOio6jWq,1,1
u0QG6n9f,2,2
qrExYWfo,1,1
ngLpExql,1,1
952Plpba,7,1
zPiLxEnO,3,2
NykOwFRu,2,1
0NeHuMKQ,5,1
dt4Ux3zX,3,2
z6Sr4CE0,7,1
jTPGL0b2,2,1
ZOcgQ4GM,2,2
TOlV3Wrf,5,1
HcouLdOm,6,1
6TUoIAka,4,2
Bm3ghE9Z,3,2
CVdno7vH,1,1
F0p3cnQr,1,1
D4Ep309Y,7,1
uB58gxOQ,5,1
ZucWxpPC,1,1
8hloITwP,5,2
jJRB5tnd,1,1
dMXO9FaR,7,1
3ntSOqAh,2,1
kEn7ZcMo,1,1
HpRXhbCr,4,2
qHtQapKv,5,1
8hIfq01v,1,1
wG9vuxWC,5,2
ZKsXiFtz,7,1
E1JwjQfv,1,1
2eg7slSt,4,1
Hgy1E8BG,2,1
iIhdwaTW,4,2
LH2q7Zzi,1,1
yjCG5T9v,4,1
hC8beiEZ,1,1
98bIoYEj,2,1
ikGucBwp,2,2
r0K5VYgj,2,2
iJNLFdTU,5,1
Y42SEOGB,7,1
rkziwv6l,7,1
kxF3jQEh,3,2
Zl83dTe4,4,1
NeXDR7YJ,1,1
vbTz2tMN,7,1
1Gv5z4AX,7,1
